DATE,TATASTEEL
05-08-2015,366.7
06-08-2015,302.25
07-08-2015,283.15
09-08-2015,228.75
10-08-2015,240.8
12-08-2015,234.75
13-08-2015,233.6
14-08-2015,237.6
17-08-2015,246.75
18-08-2015,252.35
19-08-2015,249.8
20-08-2015,241.55
21-08-2015,237.25
24-08-2015,206.1
25-08-2015,213.45
26-08-2015,215.65
27-08-2015,226.4
28-08-2015,228.95
31-08-2015,225.4
01-09-2015,399.65
02-09-2015,347.45
03-09-2015,336.3
04-09-2015,346.05
06-09-2015,304.75
07-09-2015,280.5
09-09-2015,239.5
10-09-2015,251.1
11-09-2015,222.25
12-09-2015,226.85
14-09-2015,241.8
15-09-2015,229.15
16-09-2015,230.5
18-09-2015,228.1
21-09-2015,226.45
22-09-2015,220.1
23-09-2015,221
24-09-2015,215.15
28-09-2015,209.25
29-09-2015,201.4
30-09-2015,212.6
02-10-2015,357.75
03-10-2015,331.6
04-10-2015,342.7
06-10-2015,306
07-10-2015,280.9
08-10-2015,261.15
09-10-2015,240.2
11-10-2015,218.05
12-10-2015,233
13-10-2015,245
14-10-2015,248.35
15-10-2015,255.25
16-10-2015,252.9
19-10-2015,248.4
20-10-2015,240.8
21-10-2015,244.4
23-10-2015,246
26-10-2015,249.65
27-10-2015,245.95
28-10-2015,247.15
29-10-2015,247.6
30-10-2015,246.6
02-11-2015,365
03-11-2015,325.3
05-11-2015,377.1
06-11-2015,298.7
08-11-2015,246.8
09-11-2015,232.95
11-11-2015,220.45
12-11-2015,240.9
13-11-2015,222.65
16-11-2015,230.6
17-11-2015,234.55
18-11-2015,225.85
19-11-2015,228.75
20-11-2015,230
23-11-2015,224.45
24-11-2015,224.35
26-11-2015,227.9
27-11-2015,231.25
30-11-2015,229.6
01-12-2015,396.75
02-12-2015,365.3
03-12-2015,333.2
05-12-2015,353.6
06-12-2015,297.55
